split,variant,PassengerId,Survived,raw_pred,candidate_pred,diff_direction,rescue_or_kill,Sex,Pclass,Age,SibSp,Parch,Fare,FamilySize,Surname,SurnameCount,FamilySurnameSize,FamilySurnameSizeBand
train_oof,raw_family_surname_size_band,613,1,0,1,upshift_0_to_1,rescue,female,3,,1,0,15.5,2,Murphy,3,3,small
train_oof,raw_family_surname_size_band,633,1,1,0,downshift_1_to_0,kill,male,1,32.0,0,0,30.5,1,Stahelin-Maeglin,1,1,alone
train_oof,raw_family_surname_size_band,672,0,0,1,upshift_0_to_1,kill,male,1,31.0,1,0,52.0,2,Davidson,2,2,small
train_oof,raw_family_surname_size_band,804,1,1,0,downshift_1_to_0,kill,male,3,0.42,0,1,8.5167,2,Thomas,5,5,medium
train_oof,raw_family_surname_size_band,824,1,1,0,downshift_1_to_0,kill,female,3,27.0,0,1,12.475,2,Moor,2,2,small
train_oof,raw_family_surname_size_band,851,0,0,1,upshift_0_to_1,kill,male,3,4.0,4,2,31.275,7,Andersson,11,11,large
train_oof,raw_family_surname_size_band,868,0,0,1,upshift_0_to_1,kill,male,1,31.0,0,0,50.4958,1,Roebling,1,1,alone
train_oof,raw_family_surname_size_band,870,1,1,0,downshift_1_to_0,kill,male,3,4.0,1,1,11.1333,3,Johnson,6,6,medium
train_oof,raw_family_surname_size_band,883,0,0,1,upshift_0_to_1,kill,female,3,22.0,0,0,10.5167,1,Dahlberg,1,1,alone
test_full_fit,raw_family_surname_size_band,911,,1,0,downshift_1_to_0,test_changed,female,3,45.0,0,0,7.225,1,Assaf Khalil,1,1,alone
test_full_fit,raw_family_surname_size_band,915,,1,0,downshift_1_to_0,test_changed,male,1,21.0,0,1,61.3792,2,Williams,5,5,medium
test_full_fit,raw_family_surname_size_band,920,,0,1,upshift_0_to_1,test_changed,male,1,41.0,0,0,30.5,1,Brady,1,1,alone
test_full_fit,raw_family_surname_size_band,931,,1,0,downshift_1_to_0,test_changed,male,3,,0,0,56.4958,1,Hee,1,1,alone
test_full_fit,raw_family_surname_size_band,933,,1,0,downshift_1_to_0,test_changed,male,1,,0,0,26.55,1,Franklin,2,2,small
test_full_fit,raw_family_surname_size_band,956,,1,0,downshift_1_to_0,test_changed,male,1,13.0,2,2,262.375,5,Ryerson,5,5,medium
test_full_fit,raw_family_surname_size_band,982,,1,0,downshift_1_to_0,test_changed,female,3,22.0,1,0,13.9,2,Dyker,2,2,small
test_full_fit,raw_family_surname_size_band,986,,0,1,upshift_0_to_1,test_changed,male,1,25.0,0,0,26.0,1,Birnbaum,1,1,alone
test_full_fit,raw_family_surname_size_band,1010,,0,1,upshift_0_to_1,test_changed,male,1,36.0,0,0,75.2417,1,Beattie,1,1,alone
test_full_fit,raw_family_surname_size_band,1036,,0,1,upshift_0_to_1,test_changed,male,1,42.0,0,0,26.55,1,Lindeberg-Lind,1,1,alone
test_full_fit,raw_family_surname_size_band,1050,,0,1,upshift_0_to_1,test_changed,male,1,42.0,0,0,26.55,1,Borebank,1,1,alone
test_full_fit,raw_family_surname_size_band,1084,,0,1,upshift_0_to_1,test_changed,male,3,11.5,1,1,14.5,3,van Billiard,3,3,small
test_full_fit,raw_family_surname_size_band,1098,,1,0,downshift_1_to_0,test_changed,female,3,35.0,0,0,7.75,1,McGowan,2,2,small
test_full_fit,raw_family_surname_size_band,1175,,0,1,upshift_0_to_1,test_changed,female,3,9.0,1,1,15.2458,3,Touma,3,3,small
test_full_fit,raw_family_surname_size_band,1205,,1,0,downshift_1_to_0,test_changed,female,3,37.0,0,0,7.75,1,Carr,2,2,small
test_full_fit,raw_family_surname_size_band,1239,,1,0,downshift_1_to_0,test_changed,female,3,38.0,0,0,7.2292,1,Whabee,1,1,alone
test_full_fit,raw_family_surname_size_band,1251,,0,1,upshift_0_to_1,test_changed,female,3,30.0,1,0,15.55,2,Lindell,2,2,small
test_full_fit,raw_family_surname_size_band,1275,,0,1,upshift_0_to_1,test_changed,female,3,19.0,1,0,16.1,2,McNamee,2,2,small
test_full_fit,raw_family_surname_size_band,1284,,0,1,upshift_0_to_1,test_changed,male,3,13.0,0,2,20.25,3,Abbott,3,3,small
test_full_fit,raw_family_surname_size_band,1297,,1,0,downshift_1_to_0,test_changed,male,2,20.0,0,0,13.8625,1,Nourney,1,1,alone
